Date,day_no,Daily new confirmed cases,Total confirmed cases,Daily new deaths,Total deaths,Daily new recovered,Total recovered,Daily New Tests,Total Tests,Active Cases,infection rate
24-05-21,443,1441,790521,25,12401,834,732117,15205,5826213,46003,0.095
25-05-21,444,1675,792196,40,12441,1279,733396,17683,5843896,46359,0.095
26-05-21,445,1497,793693,17,12458,1056,734452,16624,5860520,46783,0.09
27-05-21,446,1292,794985,22,12480,1291,735743,16434,5876954,46762,0.079
28-05-21,447,1358,796343,31,12511,1064,736807,15915,5892869,47025,0.085
29-05-21,448,1043,797386,38,12549,1187,737994,14606,5907475,46843,0.071
30-05-21,449,1444,798830,34,12583,1397,739391,13184,5920659,46856,0.11
31-05-21,450,1710,800540,36,12619,1567,740958,14277,5934936,46963,0.12
01-06-21,451,1765,802305,41,12660,1779,742737,18178,5953114,46908,0.097
02-06-21,452,1988,804293,34,12694,1914,744651,18250,5971364,46948,0.109
03-06-21,453,1687,805980,30,12724,1970,746621,20259,5991623,46635,0.083
04-06-21,454,1887,807867,34,12758,1723,748344,16972,6008595,46765,0.111
05-06-21,455,1447,809314,43,12801,1667,750011,18151,6026746,46502,0.08
06-06-21,456,1676,810990,38,12839,1897,751908,13115,6039861,46243,0.128
07-06-21,457,1970,812960,30,12869,1918,753826,15613,6055474,46265,0.126
08-06-21,458,2322,815282,44,12913,2062,755888,17169,6072643,46481,0.135
09-06-21,459,2537,817819,36,12949,2267,758155,19165,6091808,46715,0.132
10-06-21,460,2576,820395,40,12989,2061,760216,20584,6112392,47190,0.125
11-06-21,461,2454,822849,43,13032,2286,762502,19447,6131839,47315,0.126
12-06-21,462,1637,824486,39,13071,2108,764610,18535,6150374,46805,0.088
13-06-21,463,2436,826922,47,13118,2242,766852,11590,6161964,46952,0.21
14-06-21,464,3050,829972,54,13172,2564,769416,18749,6180713,47384,0.163
15-06-21,465,3319,833291,50,13222,2243,771659,20602,6201315,48410,0.161
16-06-21,466,3956,837247,60,13282,2679,774338,23265,6224580,49627,0.17
17-06-21,467,3840,841087,63,13345,2714,777052,23807,6248387,50690,0.161
18-06-21,468,3883,844970,54,13399,1955,779007,24871,6273258,52564,0.156
19-06-21,469,3057,848027,67,13466,1725,780732,20882,6294140,53829,0.146
20-06-21,470,3641,851668,82,13548,2509,783241,16694,6310834,54879,0.218
21-06-21,471,4636,856304,78,13626,2827,786068,22231,6333065,56610,0.209
22-06-21,472,4846,861150,76,13702,2903,788971,24057,6357122,58477,0.201
23-06-21,473,5727,866877,85,13787,3168,792139,25028,6382150,60951,0.229
24-06-21,474,6058,872935,81,13868,3230,795369,28256,6410406,63698,0.214
25-06-21,475,5869,878804,108,13976,2776,798145,30391,6440797,66683,0.193
26-06-21,476,4334,883138,77,14053,3295,801440,27653,6468450,67645,0.157
27-06-21,477,5268,888406,119,14172,3295,804735,19262,6487712,69499,0.274
28-06-21,478,8364,896770,104,14276,3570,808305,24400,6512112,74189,0.343
29-06-21,479,7666,904436,112,14388,4027,812332,35059,6547171,77716,0.219
30-06-21,480,8822,913258,115,14503,4550,816882,31982,6579153,81873,0.276
01-07-21,481,8301,921559,143,14646,4663,821545,32055,6611208,85368,0.259
02-07-21,482,8483,930042,132,14778,4509,826054,30012,6641220,89210,0.283
03-07-21,483,6214,936256,134,14912,3777,829831,22687,6663907,91513,0.274
04-07-21,484,8661,944917,153,15065,4698,834529,29879,6693786,95323,0.29
05-07-21,485,9964,954881,164,15229,5185,839714,34002,6727788,99938,0.293
06-07-21,486,11525,966406,163,15392,5433,845147,36631,6764419,105867,0.315
07-07-21,487,11162,977568,201,15593,5987,851134,35639,6800058,110841,0.313
08-07-21,488,11651,989219,199,15792,5844,856978,36850,6836908,116449,0.316
09-07-21,489,11324,1000543,212,16004,6038,863016,36586,6873494,121523,0.31
10-07-21,490,8772,1009315,185,16189,5755,868771,27884,6901378,124355,0.315
11-07-21,491,11874,1021189,230,16419,6362,875133,40015,6941393,129637,0.297
12-07-21,492,13768,1034957,220,16639,7020,882153,44067,6985460,136165,0.312
13-07-21,493,12198,1047155,203,16842,7646,889799,41755,7027215,140514,0.292
14-07-21,494,12383,1059538,210,17052,8245,898044,42490,7069705,144442,0.291
15-07-21,495,12236,1071774,226,17278,8395,906439,44941,7114646,148057,0.272
16-07-21,496,12148,1083922,187,17465,8536,914975,41945,7156591,151482,0.29
17-07-21,497,8489,1092411,204,17669,8820,923795,29214,7185805,150947,0.291
18-07-21,498,11578,1103989,225,17894,8845,932640,39806,7225611,153455,0.291
19-07-21,499,13321,1117310,231,18125,9335,941975,45012,7270623,157210,0.296
20-07-21,500,11579,1128889,200,18325,9997,951972,39510,7310133,158592,0.293
21-07-21,501,7614,1136503,173,18498,9704,961676,24979,7335112,156329,0.305
22-07-21,502,3697,1140200,187,18685,8566,970242,11486,7346598,151273,0.322
23-07-21,503,6364,1146564,166,18851,9006,979248,20493,7367091,148465,0.311
24-07-21,504,6780,1153344,195,19046,9723,988971,20827,7387918,145327,0.326
25-07-21,505,11291,1164635,228,19274,10584,999555,37587,7425505,145806,0.3
26-07-21,506,15192,1179827,247,19521,11052,1010607,50952,7476457,149699,0.298
27-07-21,507,14925,1194752,258,19779,12439,1023046,52478,7528935,151927,0.284
28-07-21,508,16230,1210982,237,20016,13470,1036516,53877,7582812,154450,0.301
29-07-21,509,15271,1226253,239,20255,14336,1050852,52282,7635094,155146,0.292
30-07-21,510,13972,1240225,212,20467,13975,1064827,45044,7680138,154931,0.31
31-07-21,511,9369,1249594,218,20685,14017,1078844,30980,7711118,150065,0.302
01-08-21,512,14844,1264438,231,20916,15054,1093898,49529,7760647,149624,0.3
02-08-21,513,15989,1280427,246,21162,15482,1109380,53462,7814109,149885,0.299
03-08-21,514,15776,1296203,235,21397,16297,1125677,55284,7869393,149129,0.285
04-08-21,515,13817,1310020,241,21638,16112,1141789,49514,7918907,146593,0.279
05-08-21,516,12744,1322764,264,21902,15786,1157575,46995,7965902,143287,0.271
06-08-21,517,12606,1335370,248,22150,15494,1173069,48015,8013917,140151,0.263
07-08-21,518,8136,1343506,261,22411,16383,1189452,31714,8045631,131643,0.257
08-08-21,519,10299,1353805,241,22652,16627,1206079,42003,8087634,125074,0.245
09-08-21,520,11463,1365268,245,22897,14412,1220491,47207,8134841,121880,0.243
10-08-21,521,11164,1376432,264,23161,14903,1235394,47424,8182265,117877,0.235
11-08-21,522,10420,1386852,237,23398,13313,1248707,44430,8226695,114747,0.235
12-08-21,523,10126,1396978,215,23613,13990,1262697,45087,8271782,110668,0.225
13-08-21,524,8465,1405443,197,23810,11547,1274244,40641,8312423,107389,0.208
14-08-21,525,6885,1412328,178,23988,7805,1282049,33330,8345753,106291,0.207
15-08-21,526,6684,1419012,187,24175,11371,1293420,33001,8378754,101417,0.203
16-08-21,527,6959,1425971,174,24349,9268,1302688,33015,8411769,98934,0.211
17-08-21,528,7535,1433506,198,24547,12950,1315638,39278,8451047,93321,0.192
18-08-21,529,7248,1440754,172,24719,12112,1327750,41014,8492061,88285,0.177
19-08-21,530,6566,1447320,159,24878,10153,1337903,37226,8529287,84539,0.176
20-08-21,531,5993,1453313,145,25023,10574,1348477,34892,8564179,79813,0.172
21-08-21,532,3991,1457304,120,25143,7666,1356143,23882,8588061,76018,0.167
22-08-21,533,4804,1462108,139,25282,8453,1364596,31689,8619750,72230,0.152
23-08-21,534,5717,1467825,117,25399,8982,1373578,36789,8656539,68848,0.155
24-08-21,535,5249,1473074,114,25513,8907,1382485,34708,8691247,65076,0.151
25-08-21,536,4966,1478040,114,25627,7808,1390293,33640,8724887,62120,0.148
26-08-21,537,4698,1482738,102,25729,8314,1398607,33111,8757998,58402,0.142
27-08-21,538,3525,1486263,117,25846,6485,1405092,27578,8785576,55325,0.128
28-08-21,539,3436,1489699,80,25926,4861,1409953,25129,8810705,53820,0.137
29-08-21,540,3948,1493647,89,26015,6466,1416419,27921,8838626,51213,0.141
30-08-21,541,3724,1497371,94,26109,6186,1422605,30855,8869481,48657,0.121
31-08-21,542,3357,1500728,86,26195,3397,1426002,28097,8897578,48531,0.119
01-09-21,543,3062,1503790,79,26274,5999,1432001,30294,8927872,45515,0.101
02-09-21,544,3463,1507253,88,26362,5901,1437902,33025,8960897,42989,0.105
03-09-21,545,3167,1510420,70,26432,4697,1442599,29438,8990335,41389,0.108
04-09-21,546,1743,1512163,61,26493,3421,1446020,17750,9008085,39650,0.098
05-09-21,547,2430,1514593,70,26563,5060,1451080,25163,9033248,36950,0.097
06-09-21,548,2710,1517303,65,26628,4124,1455204,27595,9060843,35471,0.098
07-09-21,549,2639,1519942,56,26684,5567,1460771,27233,9088076,32487,0.097
08-09-21,550,2497,1522439,52,26736,3840,1464611,27528,9115604,31092,0.091
09-09-21,551,2588,1525027,58,26794,3617,1468228,29541,9145145,30005,0.088
10-09-21,552,2325,1527352,38,26832,3856,1472084,26878,9172023,28436,0.087
11-09-21,553,1327,1528679,48,26880,3168,1475252,18869,9190892,26547,0.07
12-09-21,554,1871,1530550,51,26931,3568,1478820,25074,9215966,24799,0.075
13-09-21,555,1953,1532503,41,26972,4112,1482932,25388,9241354,22599,0.077
14-09-21,556,2074,1534577,35,27007,3735,1486667,31724,9273078,20903,0.065
15-09-21,557,1996,1536573,51,27058,3873,1490540,28109,9301187,18975,0.071
16-09-21,558,1862,1538435,51,27109,3549,1494089,27976,9329163,17237,0.067
17-09-21,559,1907,1540342,38,27147,2919,1497008,28206,9357369,16187,0.068
18-09-21,560,1821,1542163,35,27182,1645,1498653,27176,9384545,16328,0.067
19-09-21,561,1383,1543546,43,27225,2887,1501540,26404,9410949,14781,0.052
20-09-21,562,1555,1545101,26,27251,1565,1503105,26696,9437645,14745,0.058
21-09-21,563,1562,1546663,26,27277,1603,1504708,26925,9464570,14678,0.058
22-09-21,564,1376,1548039,36,27313,1427,1506135,26942,9491512,14591,0.051
23-09-21,565,1144,1549183,24,27337,1653,1507788,26400,9517912,14058,0.043
24-09-21,566,1233,1550416,31,27368,1413,1509201,25496,9543408,13847,0.048
25-09-21,567,818,1551234,25,27393,965,1510166,26232,9569640,13675,0.031
26-09-21,568,980,1552214,21,27414,1312,1511478,26596,9596236,13322,0.037
27-09-21,569,1212,1553426,25,27439,1202,1512680,26647,9622883,13307,0.045
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
